stage,artifact_id,pdf_essential_artifact,canonical_path,status,accountable_role,exit_evidence
20,S20-A01,AIMS performance report,docs/stages/stage_20/01_AIMS_LIFECYCLE_CONTROL_REVIEW.md,PARTIAL,AI Governance Owner,Internal academic review not certified AIMS
20,S20-A02,Audit findings,docs/stages/stage_20/02_INTERNAL_AUDIT_AND_CAPA.md,PARTIAL,Independent Assurance Owner,Internal Codex audit only
20,S20-A03,CAPA register,docs/stages/stage_20/02_INTERNAL_AUDIT_AND_CAPA.md,PRESENT_INTERNAL,Capstone Owner,Seven open CAPAs and containment
20,S20-A04,Management-review decision,docs/stages/stage_20/03_MANAGEMENT_REVIEW_AND_LIFECYCLE_DECISION.md,PARTIAL,Sponsor,Internal academic decision; sponsor review pending
20,S20-A05,Control plan,docs/stages/stage_20/07_CONTROL_PLAN_AND_CHANGE_REASSESSMENT.md,PRESENT_INTERNAL,Service AI Governance Owners,Academic trigger response and owner table
20,S20-A06,Updated impact risk C4 ADRs and evaluations,docs/stages/stage_20/07_CONTROL_PLAN_AND_CHANGE_REASSESSMENT.md,PARTIAL,Architecture AI Governance Owners,Change triggers defined; future reassessment evidence open
20,S20-A07,Scale change restrict suspend retire decision,docs/stages/stage_20/04_G6_DECISION_RECORD.md,PRESENT_INTERNAL,Capstone Owner,Restrict and change for synthetic POC
21,S21-A01,Retirement plan,docs/stages/stage_21/01_RETIREMENT_AND_ARCHIVE_RECORD.md,PARTIAL,Service Owner,Disposable local runtime only
21,S21-A02,Notifications,-,CONDITIONAL_NOT_SELECTED,Service Owner,No real users or external service retired
21,S21-A03,Access revocation,-,CONDITIONAL_NOT_SELECTED,Security Owner,No real enterprise access granted
21,S21-A04,Data model and memory disposition,docs/stages/stage_21/01_RETIREMENT_AND_ARCHIVE_RECORD.md,PARTIAL,Records AI Governance Owners,Temporary POC databases disposed; real records N/A
21,S21-A05,Agent and tool credential revocation,-,CONDITIONAL_NOT_SELECTED,Security Owner,No live credential or agent tool granted
21,S21-A06,Supplier and dependency closure,-,CONDITIONAL_NOT_SELECTED,Supplier Owner,No live supplier procured
21,S21-A07,Reusable ADR and C4 templates,docs/stages/stage_21/03_REUSABLE_IP_CATALOG.md,PARTIAL,Architecture Owner,Catalog lists assets; standalone templates absent
21,S21-A08,Updated reference architectures,docs/stages/stage_21/03_REUSABLE_IP_CATALOG.md,PARTIAL,Architecture Owner,Reuse guidance not versioned reference architecture
21,S21-A09,Eval and guardrail templates,docs/stages/stage_21/03_REUSABLE_IP_CATALOG.md,PARTIAL,TEVV Security Owners,Reusable patterns listed but not packaged as templates
